"bulletland","x","sd","ccf","bullet","land","meantree","meanforest","maxtree","maxforest","foundmatch"
"Ukn Bullet B-3",475,1.5000830463036,0.963955689731133,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",500,1.53314398127302,NA,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-4",25,2.10707714910367,0.661061524403708,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",50,1.94034608297688,0.751762454855097,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",75,1.65093616714918,0.701257673024742,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",100,2.09711704879064,0.62472820494992,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",125,2.2525281928087,0.669049743296648,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",150,2.19652794890678,0.887985270050881,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",175,2.32475792622845,0.912941355141683,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",200,1.84543919520131,0.989213772487121,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",225,1.76480402348063,0.978122196476818,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",250,1.75202343860883,0.98977617009214,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",275,1.69594996321821,0.990169002768462,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",300,1.68614130513989,0.984088292441426,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",325,1.64659582473881,0.991356816498247,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",350,1.65287245570573,0.977767666452913,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",375,1.59932183611326,0.969047606649917,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",400,1.61083643894074,0.990271839981013,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",425,1.54676708094587,0.963160906342476,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",450,1.43240694959975,0.919733605825652,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",475,1.14139358809087,0.874153905569403,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-4",500,0.886381898973494,NA,"Ukn Bullet B","4",0.00452147701582517,0,0.00452147701582517,0,FALSE
"Ukn Bullet B-5",25,2.80239393372456,0.801696004224119,"Ukn Bullet B","5",0.378571428571429,0.365443542209285,0.7,0.411214953271028,TRUE
"Ukn Bullet B-5",50,2.53136930214631,0.649353601357605,"Ukn Bullet B","5",0.378571428571429,0.365443542209285,0.7,0.411214953271028,TRUE
"Ukn Bullet B-5",75,2.10664128528353,0.264725784482213,"Ukn Bullet B","5",0.378571428571429,0.365443542209285,0.7,0.411214953271028,TRUE
"Ukn Bullet B-5",100,2.3472291809277,0.327205822251577,"Ukn Bullet B","5",0.378571428571429,0.365443542209285,0.7,0.411214953271028,TRUE
"Ukn Bullet B-5",125,2.39028154177352,0.632043433973795,"Ukn Bullet B","5",0.378571428571429,0.365443542209285,0.7,0.411214953271028,TRUE
"Ukn Bullet B-5",150,2.11676444649025,0.738265103441119,"Ukn Bullet B","5",0.378571428571429,0.365443542209285,0.7,0.411214953271028,TRUE
