"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sumpeaks","data","resID","id.x","id.y","match","span","forest"
"Ukn Bullet B-1","Br8 Bullet 1-4",0.243772777443065,131,1.97928145488842,2.00453705046044,175,125,2,21,1,0,10,0,0,10,8,2.41769975538448,"data-new-25-25/unkn1.RData",100,46,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 1-1",0.263143398573673,157,3.34253340974692,2.49655752266015,175,125,6,20,2,1,9,0,0,9,4,4.5840382302881,"data-new-25-25/unkn1.RData",109,49,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 1-2",0.401224343788765,108,1.39631831770069,1.89648928386561,150,125,13,16,10,5,9,0,0,9,4,8.75635465858054,"data-new-25-25/unkn1.RData",26,8,38,FALSE,25,0.0210526315789474
"Ukn Bullet B-1","Br7 Bullet 2-1",0.460577706082789,37,0.439671610309846,1.178080989026,150,125,5,25,3,1,12,0,0,12,6,3.65797853024428,"data-new-25-25/unkn1.RData",91,36,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 2-5",0.227399228849198,136,4.17699468436287,2.87386999452667,125,125,4,22,2,1,11,0,0,9,11,3.26983412986427,"data-new-25-25/unkn1.RData",95,34,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 2-2",0.171534797276117,116,3.54585421069294,2.30659651964892,175,125,4,25,1,1,8,0,0,5,4,5.31222017044939,"data-new-25-25/unkn1.RData",8,6,38,FALSE,25,0.00970873786407767
"Ukn Bullet B-1","Br8 Bullet 2-5",0.309969268831471,243,4.3090043727555,2.63116019059062,125,125,1,24,1,0,15,0,0,9,15,0.851429491447973,"data-new-25-25/unkn1.RData",107,47,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 1-4",0.296355063328079,247,2.8428929865099,2.43457755902605,200,125,4,25,2,1,15,0,0,2,6,0.389896156019782,"data-new-25-25/unkn1.RData",28,10,38,FALSE,25,0.00909090909090909
"Ukn Bullet B-1","Br10 Bullet 2-3",0.164943503550547,64,0.705201020120064,1.20276208443357,125,125,8,24,4,2,6,0,0,5,4,6.9140701995231,"data-new-25-25/unkn1.RData",21,55,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 1-2",0.407378869206029,183,8.41347366742513,3.50317414622143,175,125,1,18,1,0,12,0,0,6,12,0.845176031161131,"data-new-25-25/unkn1.RData",110,50,38,FALSE,25,0.0185185185185185
"Ukn Bullet B-1","Br6 Bullet 1-4",0.163349835456819,270,1.25044840067579,1.52558864850544,225,125,3,25,1,0,11,0,0,7,11,2.87543072450259,"data-new-25-25/unkn1.RData",76,28,38,FALSE,25,0
"Ukn Bullet B-1","Br8 Bullet 1-6",0.28397808826288,222,0.909999114655089,1.42465020952109,125,125,9,16,6,3,4,0,0,3,4,4.74228813823545,"data-new-25-25/unkn1.RData",102,48,38,FALSE,25,0
"Ukn Bullet B-1","Br8 Bullet 1-5",0.258742424952795,283,1.11373275387629,1.55718573090436,100,125,3,21,1,1,10,0,0,1,1,1.81542468605497,"data-new-25-25/unkn1.RData",101,47,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 2-2",0.329174365378278,374,1.62812530529573,1.76310479724733,200,125,3,14,3,2,9,0,0,5,9,2.96237051580757,"data-new-25-25/unkn1.RData",92,31,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 2-3",0.235284831458201,165,3.58593876009898,2.67882407092911,175,125,12,18,5,2,6,0,0,6,2,14.8120281366644,"data-new-25-25/unkn1.RData",117,50,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 2-6",0.204263689682473,277,1.01559276587668,1.44090331952231,200,125,8,17,5,2,12,0,0,3,1,5.47773564482989,"data-new-25-25/unkn1.RData",60,40,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 2-3",0.229167695892486,267,2.96045325802284,2.21806054350466,150,125,8,15,5,2,4,0,0,3,3,6.39421991357709,"data-new-25-25/unkn1.RData",93,32,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 1-5",0.407009861457581,122,1.66257449042497,1.91630804363567,125,125,6,18,3,1,7,0,0,4,2,6.11677422625109,"data-new-25-25/unkn1.RData",41,17,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 2-5",0.18431818174399,183,1.50912038624947,1.68814071560424,100,125,5,13,2,1,7,0,2,2,0,3.95209495117193,"data-new-25-25/unkn1.RData",119,52,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 2-2",0.322508313454658,341,3.30709135442537,2.26949878357828,150,125,4,24,1,1,8,0,0,6,6,1.97142063493917,"data-new-25-25/unkn1.RData",32,7,38,FALSE,25,0.00869565217391304
"Ukn Bullet B-1","Br2 Bullet 2-4",0.240719642215311,190,1.21824785191332,1.58597300198465,175,125,10,16,5,3,7,2,0,0,2,7.12672454576079,"data-new-25-25/unkn1.RData",34,9,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 2-6",0.284274991564869,288,1.31950428520633,1.81692028624071,175,125,6,23,2,1,9,0,0,3,4,5.21531761659295,"data-new-25-25/unkn1.RData",36,11,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 1-5",0.28386540151744,315,1.13928365558653,1.55237798077222,200,125,4,16,2,1,9,0,0,3,9,3.80647518189186,"data-new-25-25/unkn1.RData",17,59,38,FALSE,25,0
