"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br3 Bullet 2-3",0.418171113110595,117,0.912851405840575,1.49984140899342,175,125,6,22,9,4.16113481860824,2,"data-25-25/unkn1.RData",45,13,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-2",0.401224343788844,108,1.39631831770074,1.89648928386563,150,125,13,16,9,8.75635465858014,10,"data-25-25/unkn1.RData",26,8,38,FALSE,25,0.00323624595469256,0.00333333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-4",0.1937818320359,161,7.619222861277,3.21045104841556,350,125,6,22,15,2.76454391663654,2,"data-25-25/unkn1.RData",40,16,38,FALSE,25,0.00323624595469256,0.0433333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-2",0.317182787338049,269,1.66694936960121,1.81472098494443,150,125,6,20,11,4.99138848866362,4,"data-25-25/unkn1.RData",86,32,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-2",0.320563606126902,254,0.994936128304341,1.56137087971691,175,125,6,22,6,4.37125854254121,2,"data-25-25/unkn1.RData",14,56,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-3",0.337546247225669,53,2.16301170054039,2.127799278321,150,125,2,27,21,2.52751911422385,2,"data-25-25/unkn1.RData",57,37,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-4",0.23207795621439,288,1.5716831661112,1.72819295941271,150,125,2,20,12,1.78061277920309,2,"data-25-25/unkn1.RData",112,52,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-2",0.326050056919401,102,5.22709130590575,2.86790793444721,175,125,2,21,13,5.10917682580647,1,"data-25-25/unkn1.RData",56,42,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-4",0.163349835456864,270,1.25044840067596,1.52558864850549,225,125,3,25,11,2.87543072450295,1,"data-25-25/unkn1.RData",76,28,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-5",0.309969268831585,243,4.30900437275548,2.63116019059056,125,125,1,24,15,0.851429491448172,1,"data-25-25/unkn1.RData",107,47,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-3",0.239351108465279,139,7.45161911194434,3.15741121999876,350,125,1,19,18,3.01982807510139,1,"data-25-25/unkn1.RData",15,57,38,FALSE,25,0.00323624595469256,0.0366666666666667,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-5",0.184318181743968,183,1.50912038624947,1.68814071560424,100,125,5,13,7,3.95209495117201,2,"data-25-25/unkn1.RData",119,52,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-5",0.299187149864858,158,1.52666580074608,1.79617770075439,250,125,2,23,12,1.70295728060916,1,"data-25-25/unkn1.RData",23,57,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-1",0.273552379399195,226,0.685129696624471,1.29970123477589,200,125,4,21,13,3.34430948781114,2,"data-25-25/unkn1.RData",13,55,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-3",0.278198226673322,151,1.30962304962232,1.6256360469517,150,125,2,21,11,1.11317360760855,1,"data-25-25/unkn1.RData",99,45,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
