"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","forest","bullet"
"Ukn Bullet B-1","Br10 Bullet 1-2",0.320563606126876,254,0.994936128304369,1.5613708797169,175,125,6,27,13,5.11679508421331,2,"data-15-25/unkn1.RData",14,56,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213742,43,0.394963040782059,1.10647383846937,100,125,3,37,30,1.8294619923461,2,"data-15-25/unkn1.RData",90,36,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-2",0.194306741905922,75,0.771370646559569,1.27385250741806,175,125,3,39,19,3.27897817661099,2,"data-15-25/unkn1.RData",44,18,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-3",0.337546247225689,53,2.16301170054024,2.127799278321,150,125,5,35,13,6.49310584380608,2,"data-15-25/unkn1.RData",57,37,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-5",0.372392788840212,195,1.70853859188673,1.86194114682202,125,125,8,29,10,9.90429895833601,3,"data-15-25/unkn1.RData",11,3,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-3",0.269072360269623,158,3.28352746009972,2.66967413048952,250,125,3,32,20,2.65612883310546,2,"data-15-25/unkn1.RData",105,45,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-2",0.395267293350962,64,1.55034270524155,1.75096510640275,200,125,4,30,14,3.16405599860044,2,"data-15-25/unkn1.RData",80,29,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-1",0.471469623838825,203,1.99482077621739,2.01656448510291,225,125,11,20,5,10.4949112969878,3,"data-15-25/unkn1.RData",103,43,38,FALSE,0.00405087140838436,0.00925925925925926,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-5",0.246435294432378,40,1.31139605520569,1.67926137624783,125,125,2,38,19,1.47076779523933,1,"data-15-25/unkn1.RData",71,21,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-2",0.300035862431473,99,1.62684354007652,1.74829223966764,125,125,3,32,23,2.3340979835662,2,"data-15-25/unkn1.RData",68,24,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-3",0.18711042372369,343,3.18858115019194,2.25361118975392,150,125,4,32,16,5.02547818171576,1,"data-15-25/unkn1.RData",39,15,38,FALSE,0.00405087140838436,0.0188679245283019,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-6",0.267299276055605,241,1.22272818035488,1.58142387351633,125,125,6,25,13,6.0653098954492,2,"data-15-25/unkn1.RData",84,27,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-6",0.163886333333952,242,1.88932245494591,1.80202531529522,150,125,4,26,16,1.73494782042487,2,"data-15-25/unkn1.RData",72,22,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-6",0.239299832749928,180,0.545869644822457,1.14052396221348,175,125,9,28,17,6.15368963568322,4,"data-15-25/unkn1.RData",120,53,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
