"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br5 Bullet 2-6",0.163886333333928,242,1.88932245494598,1.80202531529524,150,125,6,16,14,3.73409047128488,3,"data-20-25/unkn1.RData",72,22,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 2-6",0.267299276055606,241,1.22272818035468,1.58142387351622,125,125,5,23,10,3.82246169962022,2,"data-20-25/unkn1.RData",84,27,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 1-3",0.270567180952997,155,1.1317403894446,1.54983257657324,100,125,11,18,5,5.63874640565544,4,"data-20-25/unkn1.RData",51,39,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-4",0.296355063328126,247,2.84289298650987,2.43457755902603,200,125,9,23,13,6.23060329527403,4,"data-20-25/unkn1.RData",28,10,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 1-3",0.3390205182755,199,1.9665137045798,1.94616659850648,100,125,8,25,8,7.77504459111287,4,"data-20-25/unkn1.RData",3,3,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 2-5",0.243993769372159,159,1.07697753527721,1.51227547977734,125,125,11,22,10,7.21217696115566,5,"data-20-25/unkn1.RData",59,39,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 1-6",0.316298702222047,194,1.65984524821032,1.80813501719245,150,125,6,19,16,5.36718874114231,4,"data-20-25/unkn1.RData",114,54,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 2-6",0.204263689682533,277,1.0155927658766,1.44090331952234,200,125,9,20,15,6.50563647783401,5,"data-20-25/unkn1.RData",60,40,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 2-3",0.195887376168452,95,0.826851266134621,1.35896467648392,150,125,3,24,12,2.80663595846789,3,"data-20-25/unkn1.RData",69,19,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 1-1",0.26314339857374,157,3.34253340974676,2.49655752266014,175,125,11,22,7,12.2921739310253,5,"data-20-25/unkn1.RData",109,49,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 1-4",0.289802209679401,150,1.11339586858582,1.54396503483024,100,125,7,21,6,6.15476528594762,2,"data-20-25/unkn1.RData",52,40,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 1-1",0.423102550473013,204,1.51153134322222,1.80123624534581,150,125,10,17,9,10.5704767232217,3,"data-20-25/unkn1.RData",97,43,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 2-4",0.313067393470496,212,4.0901508046097,2.66680811617488,150,125,5,21,9,2.93289455912612,3,"data-20-25/unkn1.RData",22,56,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 2-3",0.235284831458217,165,3.58593876009908,2.67882407092912,175,125,11,20,5,14.6141017640784,3,"data-20-25/unkn1.RData",117,50,38,FALSE,20,0.00468911188220951,0.00869565217391304
